,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
467,Fredy Montero,co COL,FWMF,Seattle,33,1987,29,15,1477,16.4,7,3,6,1,1,1,0,0.43,0.18,0.61,0.37,0.55,5.9,5.1,1.3,6.4,0.36,0.08,0.44,0.31,0.39,Matches,bc5b5be5
468,Lucas Monzón,uy URU,DF,NY Red Bulls,19,2001,1,0,23,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,312755e2
469,Kim Moonhwan,kr KOR,DF,Los Angeles FC,25,1995,27,19,1784,19.8,1,1,1,0,0,0,0,0.05,0.05,0.1,0.05,0.1,1.4,1.4,2.2,3.6,0.07,0.11,0.18,0.07,0.18,Matches,6bce7dd8
470,Drew Moor,us USA,DF,Colorado Rapids,37,1984,12,1,310,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,220cf869
471,Felipe Mora,cl CHI,FW,Portland Timbers,27,1993,29,22,2021,22.5,11,4,10,1,1,0,0,0.49,0.18,0.67,0.45,0.62,11.5,10.7,3.1,13.9,0.51,0.14,0.65,0.48,0.62,Matches,f4b0ea46
472,Joseph Mora,cr CRC,DF,D.C. United,28,1993,26,16,1531,17,0,0,0,0,0,5,1,0,0,0,0,0,0.2,0.2,0.6,0.9,0.01,0.04,0.05,0.01,0.05,Matches,2af71023
473,Alfredo Morales,us USA,MFDF,NYCFC,30,1990,27,20,1783,19.8,0,4,0,0,0,6,1,0,0.2,0.2,0,0.2,1.2,1.2,1,2.2,0.06,0.05,0.11,0.06,0.11,Matches,ff45add5
474,Maximiliano Moralez,ar ARG,MFFW,NYCFC,33,1987,30,27,2383,26.5,3,11,3,0,0,4,1,0.11,0.42,0.53,0.11,0.53,6.2,6.2,9.6,15.8,0.23,0.36,0.6,0.23,0.6,Matches,f99f37fc
475,Steven Moreira,fr FRA,DF,Columbus Crew,26,1994,7,6,526,5.8,0,2,0,0,0,0,0,0,0.34,0.34,0,0.34,0,0,2.1,2.1,0,0.36,0.36,0,0.36,Matches,f10983ae
476,Junior Moreno,ve VEN,MF,D.C. United,27,1993,28,25,2144,23.8,1,2,1,0,0,5,0,0.04,0.08,0.13,0.04,0.13,0.5,0.5,1.4,1.9,0.02,0.06,0.08,0.02,0.08,Matches,5dcb4ac4
477,Marcelino Moreno,ar ARG,MFFW,Atlanta Utd,26,1994,32,30,2586,28.7,9,4,6,3,3,5,0,0.31,0.14,0.45,0.21,0.35,8.1,5.8,6.5,12.3,0.28,0.23,0.51,0.2,0.43,Matches,058c938c
478,Santiago Moreno,co COL,FWMF,Portland Timbers,20,2000,13,3,355,3.9,0,2,0,0,0,1,0,0,0.51,0.51,0,0.51,0.6,0.6,1,1.7,0.16,0.27,0.42,0.16,0.42,Matches,3261d0e4
479,Ashtone Morgan,ca CAN,DF,Real Salt Lake,29,1991,8,4,374,4.2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.02,0.02,0,0.02,Matches,caece619
480,Lewis Morgan,sct SCO,FWDF,Inter Miami,24,1996,34,34,2820,31.3,2,1,2,0,0,0,0,0.06,0.03,0.1,0.06,0.1,3.3,3.3,5.3,8.6,0.11,0.17,0.27,0.11,0.27,Matches,b675e328
481,Jordan Morris,us USA,FWMF,Seattle,26,1994,2,0,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bd298d0d
482,Justin Morrow,us USA,DF,Toronto FC,33,1987,21,9,983,10.9,0,1,0,0,0,1,0,0,0.09,0.09,0,0.09,0,0,0.2,0.2,0,0.02,0.02,0,0.02,Matches,0bee5512
483,Kyle Morton,us USA,GK,Houston Dynamo,26,1994,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3f394ec5
484,João Moutinho,pt POR,DF,Orlando City,23,1998,20,14,1294,14.4,0,1,0,0,0,2,0,0,0.07,0.07,0,0.07,0.6,0.6,1.3,1.9,0.04,0.09,0.13,0.04,0.13,Matches,a0aee24e
485,Chris Mueller,us USA,FWMF,Orlando City,24,1996,29,18,1641,18.2,3,6,3,0,0,6,0,0.16,0.33,0.49,0.16,0.49,3.2,3.2,3.5,6.8,0.18,0.19,0.37,0.18,0.37,Matches,a5334099
486,Hany Mukhtar,de GER,FWMF,Nashville,25,1995,31,28,2496,27.7,16,10,15,1,2,6,0,0.58,0.36,0.94,0.54,0.9,10.8,9.2,5.9,15.1,0.39,0.21,0.6,0.33,0.54,Matches,87fe8526
487,Patrick Mullins,us USA,FWMF,Toronto FC,28,1992,25,9,801,8.9,1,2,1,0,0,2,0,0.11,0.22,0.34,0.11,0.34,1.5,1.5,0.8,2.4,0.17,0.09,0.26,0.17,0.26,Matches,a03a84d3
488,Jake Mulraney,ie IRL,FWDF,Atlanta Utd,24,1996,22,13,1129,12.5,1,2,1,0,0,2,1,0.08,0.16,0.24,0.08,0.24,2.7,2.7,0.9,3.6,0.21,0.07,0.29,0.21,0.29,Matches,0f04858e
489,Eddie Munjoma,us USA,DF,FC Dallas,22,1998,12,5,464,5.2,0,1,0,0,0,2,0,0,0.19,0.19,0,0.19,0.1,0.1,0.4,0.4,0.01,0.07,0.08,0.01,0.08,Matches,0e1f6ffa
490,Daniel Musovski,us USA,FWMF,Los Angeles FC,25,1995,22,5,715,7.9,4,3,4,0,0,3,0,0.5,0.38,0.88,0.5,0.88,3.9,3.9,1.2,5.2,0.49,0.15,0.65,0.49,0.65,Matches,925a2703
491,Alex Muyl,us USA,MFFW,Nashville,25,1995,32,16,1539,17.1,3,1,2,1,1,5,0,0.18,0.06,0.23,0.12,0.18,2.3,1.5,1.2,2.7,0.13,0.07,0.2,0.09,0.16,Matches,2c1025bf
492,Darlington Nagbe,us USA,MF,Columbus Crew,30,1990,33,33,2907,32.3,2,3,2,0,0,2,0,0.06,0.09,0.15,0.06,0.15,1.5,1.5,2,3.5,0.05,0.06,0.11,0.05,0.11,Matches,6219c704
493,Andy Najar,hn HON,DF,D.C. United,27,1993,26,23,1913,21.3,1,3,1,0,0,5,0,0.05,0.14,0.19,0.05,0.19,1.6,1.6,1.4,3,0.08,0.07,0.14,0.08,0.14,Matches,f8280175
494,Younes Namli,dk DEN,MFFW,Colorado Rapids,26,1994,11,6,533,5.9,1,1,1,0,0,2,0,0.17,0.17,0.34,0.17,0.34,0.5,0.5,1.3,1.8,0.09,0.21,0.3,0.09,0.3,Matches,1a672e2d
495,Nani,pt POR,FWMF,Orlando City,34,1986,28,22,1831,20.3,10,7,8,2,3,4,1,0.49,0.34,0.84,0.39,0.74,6.2,3.9,3.2,7.1,0.31,0.16,0.46,0.19,0.35,Matches,15e9c7e6
496,Federico Navarro,ar ARG,MF,Chicago Fire,20,2000,12,10,968,10.8,1,0,1,0,0,4,0,0.09,0,0.09,0.09,0.09,0.4,0.4,0.3,0.7,0.04,0.02,0.06,0.04,0.06,Matches,61c628be
497,Miguel Navarro,ve VEN,DF,Chicago Fire,21,1999,28,25,2223,24.7,0,2,0,0,0,5,0,0,0.08,0.08,0,0.08,0.5,0.5,2.3,2.9,0.02,0.09,0.12,0.02,0.12,Matches,3fbff39a
498,Dylan Nealis,us USA,DF,Nashville,22,1998,4,2,150,1.7,0,1,0,0,0,1,0,0,0.6,0.6,0,0.6,0,0,0.1,0.1,0.01,0.05,0.07,0.01,0.07,Matches,24f4dd87
499,Sean Nealis,us USA,DF,NY Red Bulls,24,1997,28,28,2430,27,1,0,1,0,0,4,0,0.04,0,0.04,0.04,0.04,2.1,2.1,0,2.2,0.08,0,0.08,0.08,0.08,Matches,8c1b17b3
