,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches,-9999
1,Paxten Aaronson,us USA,MFFW,Philadelphia,17,2003,14,5,598,6.6,3,0,3,0,0,1,0,0.45,0,0.45,0.45,0.45,1.3,1.3,1.3,2.7,0.2,0.2,0.4,0.2,0.4,Matches,4cd41883
2,Saad Abdul-Salaam,us USA,DF,Columbus Crew,29,1991,18,7,929,10.3,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,1.1,1.2,0.01,0.11,0.11,0.01,0.11,Matches,4705543b
3,Luciano Abecasis,ar ARG,DF,San Jose,30,1990,23,14,1232,13.7,0,2,0,0,0,4,0,0,0.15,0.15,0,0.15,0.5,0.5,1.6,2.1,0.04,0.12,0.16,0.04,0.16,Matches,6c510f2d
4,Ramón Ábila,ar ARG,FW,Minnesota Utd,31,1989,10,1,268,3,2,0,2,0,1,1,1,0.67,0,0.67,0.67,0.67,2.7,1.8,0.8,2.6,0.91,0.27,1.17,0.6,0.86,Matches,db5ee72d
5,Ramón Ábila,ar ARG,FW,D.C. United,31,1989,12,0,225,2.5,3,0,3,0,0,0,0,1.2,0,1.2,1.2,1.2,1,1,0,1,0.4,0,0.4,0.4,0.4,Matches,db5ee72d
6,Lalas Abubakar,gh GHA,DF,Colorado Rapids,26,1994,24,23,1921,21.3,2,0,2,0,0,6,0,0.09,0,0.09,0.09,0.09,0.8,0.8,0,0.8,0.04,0,0.04,0.04,0.04,Matches,4a67f05b
7,Nicolás Acevedo,uy URU,MF,NYCFC,21,1999,24,15,1351,15,0,0,0,0,0,7,1,0,0,0,0,0,0.4,0.4,0.9,1.4,0.03,0.06,0.09,0.03,0.09,Matches,6140be7b
8,Ifunanyachi Achara,us USA,FWMF,Toronto FC,23,1997,14,10,821,9.1,2,1,2,0,0,2,0,0.22,0.11,0.33,0.22,0.33,3.1,3.1,1,4.1,0.34,0.11,0.45,0.34,0.45,Matches,d31bf83e
9,Bryan Acosta,hn HON,MF,FC Dallas,27,1993,23,16,1575,17.5,0,1,0,0,0,7,1,0,0.06,0.06,0,0.06,1.2,1.2,2.1,3.3,0.07,0.12,0.19,0.07,0.19,Matches,c5f400f4
10,Danilo Acosta,hn HON,DF,LA Galaxy,23,1997,2,0,63,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03,0.03,0,0.03,Matches,41f720a5
11,Kellyn Acosta,us USA,MFDF,Colorado Rapids,25,1995,21,19,1718,19.1,1,2,1,0,0,2,0,0.05,0.1,0.16,0.05,0.16,1,1,1.4,2.5,0.05,0.07,0.13,0.05,0.13,Matches,ece10cfe
12,Luciano Acosta,ar ARG,MF,FC Cincinnati,26,1994,31,30,2694,29.9,7,8,7,0,0,6,0,0.23,0.27,0.5,0.23,0.5,5.8,5.8,7.5,13.4,0.19,0.25,0.45,0.19,0.45,Matches,363ba6d7
13,Mo Adams,eng ENG,MF,Atlanta Utd,24,1996,6,2,148,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.02,0,0.02,0.02,0.02,Matches,00362ef7
14,Samuel Adeniran,us USA,FWMF,Seattle,22,1998,2,1,59,0.7,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.28,0,0.28,0.28,0.28,Matches,86429529
15,Fanendo Adi,ng NGA,FW,Minnesota Utd,30,1990,10,1,210,2.3,1,0,1,0,0,0,0,0.43,0,0.43,0.43,0.43,1,1,0.1,1.1,0.45,0.04,0.48,0.45,0.48,Matches,ae2dd50a
16,Harrison Afful,gh GHA,DF,Columbus Crew,34,1986,26,21,1814,20.2,0,2,0,0,0,5,1,0,0.1,0.1,0,0.1,0.5,0.5,0.8,1.3,0.02,0.04,0.07,0.02,0.07,Matches,7d8ede09
17,Juan Agudelo,us USA,FWMF,Minnesota Utd,28,1992,13,1,245,2.7,0,0,0,0,0,0,0,0,0,0,0,0,1.6,1.6,0,1.6,0.58,0.01,0.59,0.58,0.59,Matches,0cb2115f
18,Raul Aguilera Jr.,us USA,MF,Orlando City,21,1999,3,0,95,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7b6113d9
19,Daniel Aguirre,us USA,MFFW,LA Galaxy,21,1999,5,0,34,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.62,0,0.62,0.62,0.62,Matches,ecc5063f
20,Matheus Aiás,br BRA,FWMF,Orlando City,24,1996,2,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3ac4ee49
21,Arnaud Ake,ci CIV,FWMF,Nashville,22,1998,19,2,394,4.4,1,1,1,0,0,1,0,0.23,0.23,0.46,0.23,0.46,0.9,0.9,1.6,2.5,0.21,0.35,0.57,0.21,0.57,Matches,3402bb17
22,Tesho Akindele,ca CAN,FW,Orlando City,28,1992,32,15,1368,15.2,3,6,3,0,1,1,0,0.2,0.39,0.59,0.2,0.59,6.1,5.3,2.3,7.6,0.4,0.15,0.55,0.35,0.5,Matches,897304e5
23,Ayo Akinola,ca CAN,FW,Toronto FC,21,2000,11,8,645,7.2,3,0,3,0,0,0,0,0.42,0,0.42,0.42,0.42,2.2,2.2,0.4,2.6,0.31,0.06,0.36,0.31,0.36,Matches,214d2406
24,Oswaldo Alanís,mx MEX,DF,San Jose,31,1989,25,24,2042,22.7,2,0,0,2,2,3,0,0.09,0,0.09,0,0,2,0.5,0.2,0.7,0.09,0.01,0.1,0.02,0.03,Matches,e97787d9
25,Caio Alexandre,br BRA,MF,Vancouver,21,1999,15,11,956,10.6,0,1,0,0,0,5,0,0,0.09,0.09,0,0.09,0.9,0.9,0.7,1.6,0.09,0.06,0.15,0.09,0.15,Matches,08ac23b7
26,Tony Alfaro,us USA,DF,D.C. United,27,1993,25,21,1846,20.5,1,1,1,0,0,7,0,0.05,0.05,0.1,0.05,0.1,1.4,1.4,0,1.5,0.07,0,0.07,0.07,0.07,Matches,4118b12a
27,Ignacio Aliseda,ar ARG,FWMF,Chicago Fire,20,2000,23,16,1594,17.7,4,1,4,0,0,0,0,0.23,0.06,0.28,0.23,0.28,3.8,3.8,2.2,5.9,0.21,0.12,0.34,0.21,0.34,Matches,bb8099ee
28,Osvaldo Alonso,cu CUB,MF,Minnesota Utd,35,1985,24,15,1416,15.7,1,0,1,0,0,8,0,0.06,0,0.06,0.06,0.06,0.5,0.5,0.6,1.1,0.03,0.04,0.07,0.03,0.07,Matches,8449bfda
29,Jozy Altidore,us USA,FW,Toronto FC,31,1989,16,8,768,8.5,4,0,4,0,0,1,0,0.47,0,0.47,0.47,0.47,2.6,2.6,0.2,2.8,0.31,0.02,0.33,0.3,0.33,Matches,8db8ad1e
30,Alexander Alvarado,ec ECU,FWMF,Orlando City,21,1999,10,2,197,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.02,0.03,0.05,0.02,0.05,Matches,7302ba2b
31,Ventura Alvarado,us USA,DF,Inter Miami,28,1992,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4c219392
32,Efrain Alvarez,mx MEX,FWMF,LA Galaxy,18,2002,26,16,1252,13.9,2,2,2,0,0,1,0,0.14,0.14,0.29,0.14,0.29,2.7,2.7,3.1,5.8,0.19,0.22,0.42,0.19,0.42,Matches,3cd08ab7
33,Frankie Amaya,us USA,MF,NY Red Bulls,20,2000,22,10,840,9.3,1,1,1,0,0,1,0,0.11,0.11,0.21,0.11,0.21,0.5,0.5,1.1,1.6,0.05,0.11,0.17,0.05,0.17,Matches,2e8bd00c
34,Mikey Ambrose,us USA,DFMF,Atlanta Utd,27,1993,4,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f649d6aa
35,Malte Amundsen,dk DEN,DF,NYCFC,22,1998,32,14,1394,15.5,1,3,1,0,0,2,0,0.06,0.19,0.26,0.06,0.26,0.5,0.5,2.8,3.3,0.03,0.18,0.21,0.03,0.21,Matches,83b6e15d
36,Sebastian Anderson,us USA,DF,Colorado Rapids,18,2002,1,0,32,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3a9911ce
37,José Andrés Martínez,ve VEN,MF,Philadelphia,26,1994,24,23,1953,21.7,0,2,0,0,0,9,1,0,0.09,0.09,0,0.09,0.4,0.4,0.5,0.9,0.02,0.02,0.04,0.02,0.04,Matches,c8364e8e
38,Jalil Anibaba,us USA,DF,Nashville,32,1988,9,7,635,7.1,1,0,1,0,0,0,0,0.14,0,0.14,0.14,0.14,0.3,0.3,0,0.3,0.04,0,0.04,0.04,0.04,Matches,e44593b0
39,Brian Anunga,cm CMR,MF,Nashville,24,1996,25,17,1511,16.8,1,0,1,0,0,4,0,0.06,0,0.06,0.06,0.06,0.8,0.8,0.7,1.5,0.05,0.04,0.09,0.05,0.09,Matches,17b28ec7
40,Cristian Arango,co COL,FW,Los Angeles FC,25,1995,17,15,1396,15.5,14,2,9,5,5,4,0,0.9,0.13,1.03,0.58,0.71,12,8.2,3.5,11.7,0.78,0.22,1,0.53,0.75,Matches,fea9401e
41,Julian Araujo,mx MEX,DF,LA Galaxy,19,2001,32,32,2793,31,0,6,0,0,0,8,0,0,0.19,0.19,0,0.19,0.5,0.5,3.7,4.2,0.02,0.12,0.13,0.02,0.13,Matches,8f4541c2
42,Luiz Araújo,br BRA,FWMF,Atlanta Utd,24,1996,15,13,1148,12.8,4,3,4,0,0,3,0,0.31,0.24,0.55,0.31,0.55,3.7,3.7,3,6.7,0.29,0.23,0.52,0.29,0.52,Matches,fa18c72e
43,Daniel Armando Ríos,mx MEX,FW,Nashville,25,1995,12,5,373,4.1,1,1,1,0,0,0,0,0.24,0.24,0.48,0.24,0.48,1.5,1.5,0.5,1.9,0.35,0.11,0.47,0.35,0.47,Matches,078b2c07
44,Xavier Arreaga,ec ECU,DF,Seattle,26,1994,26,25,2162,24,2,0,2,0,0,6,0,0.08,0,0.08,0.08,0.08,1.7,1.7,0.4,2,0.07,0.02,0.09,0.07,0.09,Matches,7f2b7640
45,Paul Arriola,us USA,FWMF,D.C. United,25,1995,20,19,1355,15.1,6,2,6,0,0,3,0,0.4,0.13,0.53,0.4,0.53,5.3,5.3,3.9,9.2,0.35,0.26,0.61,0.35,0.61,Matches,1bb2acce
46,Artur,br BRA,MF,Columbus Crew,24,1996,6,5,431,4.8,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0,0.4,0.09,0,0.09,0.09,0.09,Matches,ea6803c7
47,Yamil Asad,ar ARG,MFFW,D.C. United,26,1994,16,8,650,7.2,2,1,1,1,1,3,0,0.28,0.14,0.42,0.14,0.28,1.8,1,1.3,2.3,0.25,0.18,0.43,0.14,0.32,Matches,a444689a
48,Dairon Asprilla,co COL,FWMF,Portland Timbers,28,1992,34,25,2088,23.2,10,3,9,1,1,5,0,0.43,0.13,0.56,0.39,0.52,6.8,6,2.7,8.7,0.29,0.11,0.41,0.26,0.37,Matches,218d336c
49,Isaac Atanga,gh GHA,FWMF,FC Cincinnati,20,2000,22,12,1024,11.4,1,2,1,0,0,0,1,0.09,0.18,0.26,0.09,0.26,2.5,2.5,1.4,3.9,0.22,0.12,0.34,0.22,0.34,Matches,ff0f2a53
50,Joshua Atencio,us USA,MF,Seattle,19,2002,24,18,1514,16.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.1,0.3,0.01,0.01,0.02,0.01,0.02,Matches,1f084637
51,Jeff Attinella,us USA,GK,Portland Timbers,32,1988,3,2,170,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,4277b946
52,Eduard Atuesta,co COL,MF,Los Angeles FC,23,1997,24,24,2128,23.6,2,7,1,1,1,3,0,0.08,0.3,0.38,0.04,0.34,2.5,1.8,3.9,5.7,0.11,0.17,0.27,0.08,0.24,Matches,60990b81
53,Auro,br BRA,DFMF,Toronto FC,25,1996,25,23,1991,22.1,0,3,0,0,0,2,1,0,0.14,0.14,0,0.14,0.7,0.7,2.6,3.2,0.03,0.12,0.15,0.03,0.15,Matches,b234cb0e
54,Brandon Austin,eng ENG,GK,Orlando City,22,1999,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5e253986
55,Edison Azcona,do DOM,FW,Inter Miami,17,2003,4,0,50,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,05f54837
56,Dominique Badji,sn SEN,FW,Nashville,28,1992,5,2,188,2.1,0,1,0,0,0,0,0,0,0.48,0.48,0,0.48,1.1,1.1,0,1.1,0.52,0,0.52,0.52,0.52,Matches,758ac389
57,Dominique Badji,sn SEN,FWMF,Colorado Rapids,28,1992,12,3,328,3.6,5,0,5,0,0,1,0,1.37,0,1.37,1.37,1.37,1.6,1.6,0,1.6,0.43,0.01,0.45,0.43,0.45,Matches,758ac389
58,Zico Bailey,us USA,DF,FC Cincinnati,20,2000,11,9,683,7.6,1,1,1,0,0,2,0,0.13,0.13,0.26,0.13,0.26,0.2,0.2,0.9,1.1,0.03,0.12,0.15,0.03,0.15,Matches,aa9e1161
59,Theo Bair,ca CAN,FW,Vancouver,21,1999,4,0,30,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c724745e
60,Corey Baird,us USA,FW,Houston Dynamo,25,1996,7,4,362,4,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.1,0.23,0.03,0.27,0.23,0.27,Matches,2d0d1442
61,Corey Baird,us USA,FW,Los Angeles FC,25,1996,13,9,750,8.3,3,2,3,0,0,2,0,0.36,0.24,0.6,0.36,0.6,2.9,2.9,0.9,3.7,0.34,0.1,0.45,0.34,0.45,Matches,2d0d1442
