Season,Player,Nation,Pos,Age,fbref_ID
2022,Oniel Fisher,JAM,DF,30,ed5fdca6
2022,Leon Flach,USA,MF,21,39859fa1
2022,Ashley Fletcher,ENG,FW,27,eeb6551f
2022,Kristian Fletcher,USA,FW,17,67d3d023
2022,Edison Flores,PER,MFFW,28,ef2c82f8
2022,George Fochive,USA,MF,30,f99000bb
2022,Nathan Fogaça,BRA,FW,23,aad135a3
2022,Andreu Fontàs,ESP,DF,32,0f138d5a
2022,Kortne Ford,USA,DF,26,552a7707
2022,Taxiarchis Fountas,GRE,FWMF,27,2ce71308
2022,Franco Fragapane,ARG,FWMF,29,09538c47
2022,Alan Franco,ARG,DF,26,a548281c
2022,Alan Franco,ECU,MF,24,c76b161b
2022,Kobe Franklin,CAN,DF,19,407325c4
2022,Stefan Frei,SUI,GK,36,1d0a0f3e
2022,Christian Fuchs,AUT,DF,36,a67a09fb
2022,Ruben Gabrielsen,NOR,DF,30,9e64fc85
2022,Ray Gaddis,USA,DF,32,8348b24d
2022,McKinze Gaines,USA,FWMF,24,8ef72983
2022,Jon Gallagher,IRL,DF,26,9d5afdfb
2022,Pedro Gallese,PER,GK,32,b76e1394
2022,Christopher Garcia,USA,MFFW,19,f6390a6b
2022,Mender García,COL,FWMF,23,2375dd75
2022,Chase Gasper,USA,DF,26,7371ec36
2022,Ryan Gauld,SCO,MFFW,26,862e93c2
2022,Dániel Gazdag,HUN,MF,26,527d0e31
2022,Kieran Gibbs,ENG,DF,33,46ee5234
2022,Carles Gil,ESP,MFFW,29,11c30a46
2022,José Antonio Martínez Gil,ESP,DF,29,8e049cbd
2022,Nacho Gil,ESP,FWMF,27,87ec1a2a
2022,Gastón Giménez,PAR,MF,31,ab66cc31
2022,Francisco Ginella,URU,MF,23,5a28a782
2022,Nicholas Gioacchini,USA,FWMF,22,79ab7593
2022,Justen Glad,USA,DF,25,5b768b0f
2022,Jakob Glesnes,NOR,DF,28,ac65aef3
2022,Chris Gloster,USA,DF,22,01cd3c12
2022,Marcus Godinho,CAN,DF,25,27854bf6
2022,Aníbal Godoy,PAN,MF,32,2d496ca3
2022,Erik Godoy,ARG,DF,29,e8b80334
2022,Eulânio Ângelo Chipela Gomes,GNB,DF,28,d9b9b71a
2022,Yeimar Gómez Andrade,COL,DF,30,e43c8d72
2022,Jonathan González,MEX,MF,23,a8785279
2022,Omar Gonzalez,USA,DF,34,0d2fe665
2022,Samuel Grandsir,FRA,FWMF,26,d2448564
2022,Tayvon Gray,USA,DF,20,c839e1b2
2022,Gregore,BRA,MF,28,49815f34
2022,Ján Greguš,SVK,MF,31,7d974435
2022,Julian Gressel,GER,DF,28,acd47bc0
2022,Raúl Gudiño,MEX,GK,26,2f061b36
2022,Sami Guediri,USA,DF,25,e3dc71a7
2022,Brian Gutiérrez,USA,FWMF,19,d88f31db
2022,Cristián Gutiérrez,CHI,DF,25,6e56a4f2
2022,Diego Gutierrez,USA,FW,23,4903a306
2022,Felipe Gutiérrez,CHI,MF,32,80ae314a
2022,Andrew Gutman,USA,DF,26,b7a23251
2022,Brad Guzan,USA,GK,38,d899e3bf
2022,Justin Haak,USA,MF,21,c644e140
2022,Luke Haakenson,USA,MFFW,25,77d28e45
2022,Teenage Hadebe,ZIM,DF,27,582952f2
2022,Nick Hagglund,USA,DF,30,39632554
2022,Marlon Hairston,USA,DF,28,1d531c57
2022,Siad Haji,SOM,DFFW,22,9212f1cb
2022,Michael Halliday,USA,DFMF,19,6ad5f50e
2022,Ahmed Hamdi,EGY,MF,24,fc7c8d3d
2022,Bill Hamid,USA,GK,31,012fc030
2022,Niko Hansen,DEN,FW,28,9bebd450
2022,Cameron Harper,USA,DFFW,20,4a78c769
2022,Nathan Harriel,USA,DF,21,b3edbeff
2022,Calvin Harris,ENG,FWDF,22,07b0aeef
2022,Thomas Hasal,CAN,GK,23,86bac87b
2022,Jacori Hayes,USA,MF,27,d2173b7b
2022,Héber,BRA,FW,31,d552c4a1
2022,Matt Hedges,USA,DF,32,5e2a4d0e
2022,Chris Hegardt,USA,FWMF,20,99a6142d
2022,Doneil Henry,CAN,DF,29,22636117
2022,Fabian Herbers,GER,FWMF,29,5cbf5ccd
2022,Felipe Hernandez,USA,MF,24,31a4d0b8
2022,Javier Hernández,MEX,FW,34,189cee7b
2022,Ronald Hernández,VEN,DF,25,de907bab
2022,Aaron Herrera,USA,DF,25,d86e3070
2022,Héctor Herrera,MEX,MF,32,a8542814
2022,Gonzalo Higuaín,ARG,FW,34,8a08491a
2022,Brendan Hines-Ike,USA,DF,27,b807c1dc
2022,Bongokuhle Hlongwane,RSA,FWMF,22,de9952b5
2022,Danny Hoesen,NED,FW,31,5ef1939b
2022,Ryan Hollingshead,USA,DF,31,28b58797
2022,Erik Holt,USA,DF,26,3677d047
