,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
91,Marc Burch,us USA,DF,Colorado Rapids,32,1984,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,Matches,bff42de6
92,Bobby Burling,us USA,DF,Colorado Rapids,32,1984,12,8,764,8.5,0,0,0,0,0,3,0,0,0,0,0,0,Matches,ad7ff83e
93,Julian Büscher,de GER,MF,D.C. United,23,1993,7,2,183,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b75e5a21
94,Evan Bush,us USA,GK,Montreal Impact,30,1986,31,31,2790,31,0,0,0,0,0,2,0,0,0,0,0,0,Matches,69a57596
95,Víctor Cabrera,ar ARG,DF,Montreal Impact,23,1993,20,18,1496,16.6,0,0,0,0,0,6,1,0,0,0,0,0,Matches,2332941c
96,Scott Caldwell,us USA,MF,New England,25,1991,33,26,2191,24.3,1,2,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,Matches,4a54592d
97,Alexander Callens,pe PER,DF,NYCFC,24,1992,34,34,3060,34,2,0,2,0,0,4,0,0.06,0,0.06,0.06,0.06,Matches,af34f10d
98,Caleb Calvert,us USA,FW,Colorado Rapids,20,1996,12,3,405,4.5,1,0,1,0,0,2,2,0.22,0,0.22,0.22,0.22,Matches,876aa017
99,Francisco Calvo,cr CRC,DF,Minnesota Utd,24,1992,27,27,2430,27,2,1,2,0,0,5,0,0.07,0.04,0.11,0.07,0.11,Matches,706bd23f
100,Hassoun Camara,sn SEN,DFMF,Montreal Impact,32,1984,18,16,1347,15,0,0,0,0,0,4,2,0,0,0,0,0,Matches,cc7bbd73
101,Miguel Camargo,pa PAN,FW,NYCFC,23,1993,8,2,180,2,1,0,1,0,0,1,0,0.5,0,0.5,0.5,0.5,Matches,2d836bfe
102,Jonathan Campbell,us USA,DF,Chicago Fire,23,1993,24,8,1021,11.3,0,0,0,0,0,2,0,0,0,0,0,0,Matches,868a8f30
103,Reggie Cannon,us USA,DF,FC Dallas,18,1998,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ad9ffc7e
104,Russell Canouse,us USA,MF,D.C. United,21,1995,10,10,867,9.6,0,1,0,0,0,3,0,0,0.1,0.1,0,0.1,Matches,ec730d9a
105,Andrew Carleton,us USA,MF,Atlanta Utd,16,2000,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,53b90314
106,Carlos Carmona,cl CHI,MF,Atlanta Utd,29,1987,31,30,2683,29.8,2,1,2,0,0,8,1,0.07,0.03,0.1,0.07,0.1,Matches,12b9753e
107,Servando Carrasco,us USA,MF,Orlando City,28,1988,15,9,831,9.2,1,0,1,0,0,2,2,0.11,0,0.11,0.11,0.11,Matches,8e5cbc2b
108,Brian Carroll,us USA,MF,Philadelphia,35,1981,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6168ede5
109,Dennis Castillo,cr CRC,DF,Colorado Rapids,23,1993,3,3,243,2.7,0,0,0,0,0,1,0,0,0,0,0,0,Matches,64872cd0
110,Cordell Cato,tt TRI,DFMF,San Jose,24,1992,15,13,1135,12.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8ba75365
111,Darwin Cerén,sv SLV,MF,San Jose,27,1989,21,19,1643,18.3,0,1,0,0,0,2,3,0,0.05,0.05,0,0.05,Matches,a58de3f0
112,Carlos Cermeño,ve VEN,MF,FC Dallas,21,1995,8,3,318,3.5,0,0,0,0,0,2,0,0,0,0,0,0,Matches,499f9798
113,Maxime Chanot,lu LUX,DF,NYCFC,27,1989,19,19,1710,19,2,0,2,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches,ca366055
114,Jay Chapman,ca CAN,MFFW,Toronto FC,23,1994,12,3,391,4.3,1,0,1,0,0,0,0,0.23,0,0.23,0.23,0.23,Matches,3bb4d381
115,Diego Chará,co COL,MF,Portland Timbers,30,1986,29,29,2529,28.1,1,1,1,0,0,8,1,0.04,0.04,0.07,0.04,0.07,Matches,6260cc9d
116,Benoît Cheyrou,fr FRA,MF,Toronto FC,35,1981,13,7,619,6.9,1,0,1,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches,683e9dbc
117,David Choinière,ca CAN,FWMF,Montreal Impact,19,1997,3,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d9f55da5
118,Michaël Ciani,fr FRA,DF,LA Galaxy,32,1984,6,6,540,6,1,0,1,0,0,3,0,0.17,0,0.17,0.17,0.17,Matches,2ce3dc98
119,Laurent Ciman,be BEL,DF,Montreal Impact,31,1985,30,30,2700,30,0,1,0,0,0,6,0,0,0.03,0.03,0,0.03,Matches,5113d9a7
120,Ricardo Clark,us USA,MF,Houston Dynamo,33,1983,28,26,2245,24.9,0,0,0,0,0,6,0,0,0,0,0,0,Matches,1bf7f157
121,Steve Clark,us USA,GK,D.C. United,30,1986,5,5,450,5,0,0,0,0,0,1,0,0,0,0,0,0,Matches,ed6320b7
122,Ashley Cole,eng ENG,DF,LA Galaxy,36,1980,29,29,2498,27.8,1,2,1,0,0,0,1,0.04,0.07,0.11,0.04,0.11,Matches,be091289
123,Aurélien Collin,fr FRA,DF,NY Red Bulls,30,1986,9,7,545,6.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches,a4631166
124,Cristian Colmán,py PAR,FW,FC Dallas,22,1994,26,10,966,10.7,2,1,2,0,0,1,0,0.19,0.09,0.28,0.19,0.28,Matches,c896354b
125,Drew Conner,us USA,MFDF,Chicago Fire,22,1994,21,8,890,9.9,0,0,0,0,0,0,0,0,0,0,0,0,Matches,87744c26
126,Armando Cooper,pa PAN,MFFW,Toronto FC,29,1987,19,10,908,10.1,0,1,0,0,0,2,0,0,0.1,0.1,0,0.1,Matches,c3835594
127,Coy Craft,us USA,FWMF,FC Dallas,19,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,778a1d0c
128,Warren Creavalle,us USA,MF,Philadelphia,26,1990,13,5,549,6.1,0,0,0,0,0,2,0,0,0,0,0,0,Matches,ac4e49fa
129,Maxime Crépeau,ca CAN,GK,Montreal Impact,22,1994,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,Matches,ea42e480
130,Alex Crognale,us USA,DF,Columbus Crew,22,1994,17,12,1071,11.9,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches,1169c5eb
131,Sam Cronin,us USA,MF,Minnesota Utd,30,1986,18,18,1549,17.2,0,1,0,0,0,3,0,0,0.06,0.06,0,0.06,Matches,9e8af482
132,Sam Cronin,us USA,MF,Colorado Rapids,30,1986,3,3,261,2.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches,9e8af482
133,Cody Cropper,us USA,GK,New England,23,1993,28,28,2520,28,0,0,0,0,0,0,0,0,0,0,0,0,Matches,aa133046
134,Abu Danladi,gh GHA,FWMF,Minnesota Utd,21,1995,27,15,1393,15.5,8,2,8,0,0,4,1,0.52,0.13,0.65,0.52,0.65,Matches,507383d1
135,Juan David Cabezas,co COL,MF,Houston Dynamo,25,1991,27,26,2229,24.8,1,0,1,0,0,7,0,0.04,0,0.04,0.04,0.04,Matches,4ea22d91
136,Alphonso Davies,ca CAN,MF,Vancouver,16,2000,26,9,1065,11.8,0,1,0,0,0,1,0,0,0.08,0.08,0,0.08,Matches,d781d855
137,Charlie Davies,us USA,FW,Philadelphia,30,1986,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f30e4466
