,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
487,Marcelo Sarvas,br BRA,MF,D.C. United,35,1981,25,19,1843,20.5,0,0,0,0,1,7,0,0,0,0,0,0,Matches,8b1a3ea8
488,Sebastián Saucedo,us USA,FWMF,Real Salt Lake,20,1997,20,5,581,6.5,0,2,0,0,0,2,0,0,0.31,0.31,0,0.31,Matches,07aed9c9
489,Jefferson Savarino,ve VEN,MFFW,Real Salt Lake,20,1996,22,19,1667,18.5,6,5,6,0,0,0,0,0.32,0.27,0.59,0.32,0.59,Matches,91721722
490,Justin Schmidt,us USA,DFMF,Real Salt Lake,23,1993,9,7,676,7.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fe5a1e0a
491,Chris Schuler,us USA,DF,Real Salt Lake,29,1987,12,12,1068,11.9,0,0,0,0,0,4,0,0,0,0,0,0,Matches,6bc7d83c
492,Rasmus Schüller,fi FIN,MF,Minnesota Utd,25,1991,7,4,322,3.6,0,0,0,0,0,1,0,0,0,0,0,0,Matches,0e624c72
493,Bastian Schweinsteiger,de GER,MF,Chicago Fire,32,1984,24,23,1989,22.1,3,2,3,0,0,5,0,0.14,0.09,0.23,0.14,0.23,Matches,ccc22fea
494,Chris Seitz,us USA,GK,FC Dallas,29,1987,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8b388dd5
495,Philippe Senderos,ch SUI,DF,Houston Dynamo,31,1985,2,2,161,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b1d82fc2
496,Dillon Serna,us USA,MF,Colorado Rapids,22,1994,19,9,951,10.6,1,1,1,0,0,0,0,0.09,0.09,0.19,0.09,0.19,Matches,c57a3d03
497,Brek Shea,us USA,MFFW,Vancouver,26,1990,25,14,1328,14.8,4,2,4,0,0,2,2,0.27,0.14,0.41,0.27,0.41,Matches,adb6ae24
498,Khiry Shelton,us USA,MFFW,NYCFC,23,1993,15,3,512,5.7,1,0,1,0,0,0,0,0.18,0,0.18,0.18,0.18,Matches,f935709c
499,Harry Shipp,us USA,MF,Seattle,25,1991,18,11,926,10.3,2,0,2,0,0,1,0,0.19,0,0.19,0.19,0.19,Matches,77c62610
500,Shamit Shome,ca CAN,MF,Montreal Impact,19,1997,1,0,9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,94d98e8d
501,Bobby Shuttleworth,us USA,GK,Minnesota Utd,29,1987,33,32,2839,31.5,0,0,0,0,0,4,0,0,0,0,0,0,Matches,4598ac94
502,Marcelo Silva,uy URU,DF,Real Salt Lake,27,1989,9,9,649,7.2,0,0,0,0,0,0,1,0,0,0,0,0,Matches,b9596515
503,Pierre da Silva,us USA,FWMF,Orlando City,18,1998,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,5efebf63
504,Jay Simpson,eng ENG,FW,Philadelphia,28,1988,22,4,485,5.4,1,0,1,0,0,0,0,0.19,0,0.19,0.19,0.19,Matches,fe9c9bfc
505,Seth Sinovic,us USA,DF,Sporting KC,30,1987,32,32,2856,31.7,1,2,1,0,0,5,0,0.03,0.06,0.09,0.03,0.09,Matches,55328176
506,Axel Sjöberg,se SWE,DF,Colorado Rapids,25,1991,19,19,1637,18.2,1,0,1,0,0,1,1,0.05,0,0.05,0.05,0.05,Matches,d7eb2464
507,Donnie Smith,us USA,DF,New England,26,1990,1,1,52,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,d20a9358
508,Joshua Smith,us USA,DF,New England,24,1992,6,6,539,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a57cfdac
509,Nathan Smith,us USA,DF,LA Galaxy,22,1994,12,9,908,10.1,0,0,0,0,0,5,1,0,0,0,0,0,Matches,e36b0e58
510,Luis Solignac,ar ARG,MFFW,Chicago Fire,25,1991,33,26,2148,23.9,7,4,7,0,0,1,0,0.29,0.17,0.46,0.29,0.46,Matches,760de4ba
511,Jonathan Spector,us USA,DF,Orlando City,30,1986,25,25,2175,24.2,1,0,1,0,0,5,2,0.04,0,0.04,0.04,0.04,Matches,3670bd5c
512,Ben Spencer,us USA,FW,Toronto FC,21,1995,3,2,178,2,0,2,0,0,0,0,0,0,1.01,1.01,0,1.01,Matches,b31b032b
513,Zack Steffen,us USA,GK,Columbus Crew,21,1995,34,34,3060,34,0,0,0,0,0,3,0,0,0,0,0,0,Matches,42130443
514,Daniel Steres,us USA,DF,LA Galaxy,26,1990,21,21,1842,20.5,3,0,3,0,0,1,0,0.15,0,0.15,0.15,0.15,Matches,17c03c76
515,John Stertzer,us USA,MF,NYCFC,26,1990,5,0,58,0.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,18558ff6
516,Zoltán Stieber,hu HUN,MF,D.C. United,28,1988,8,6,524,5.8,1,0,1,0,0,1,0,0.17,0,0.17,0.17,0.17,Matches,495b10e2
517,Andraž Struna,si SVN,DF,NYCFC,27,1989,5,4,321,3.6,0,1,0,0,0,1,0,0,0.28,0.28,0,0.28,Matches,ade9476a
518,Sunny,ng NGA,MF,Real Salt Lake,28,1988,21,18,1487,16.5,0,1,0,0,0,7,0,0,0.06,0.06,0,0.06,Matches,1eb38665
519,Scott Sutter,ch SUI,DF,Orlando City,30,1986,32,30,2728,30.3,1,4,1,0,0,1,0,0.03,0.13,0.16,0.03,0.16,Matches,b58f5f17
520,Gustav Svensson,se SWE,MFDF,Seattle,29,1987,32,30,2642,29.4,1,3,1,0,0,1,0,0.03,0.1,0.14,0.03,0.14,Matches,733713ef
521,Ben Sweat,us USA,DF,NYCFC,25,1991,26,25,2174,24.2,1,6,1,0,0,3,0,0.04,0.25,0.29,0.04,0.29,Matches,6937b1ac
522,Alexandros Tabakis,gr GRE,GK,Atlanta Utd,24,1992,1,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0245fbbf
523,Ballou Tabla,ca CAN,MFFW,Montreal Impact,17,1999,21,11,1148,12.8,2,2,2,0,0,4,0,0.16,0.16,0.31,0.16,0.31,Matches,018bd079
524,Andrew Tarbell,us USA,GK,San Jose,23,1993,11,11,990,11,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c5487a34
525,Jermaine Taylor,jm JAM,DF,Minnesota Utd,32,1985,14,6,677,7.5,0,0,0,0,0,1,0,0,0,0,0,0,Matches,3074b7b0
526,Tony Tchani,cm CMR,MF,Vancouver,27,1989,27,26,2114,23.5,4,1,4,0,0,5,3,0.17,0.04,0.21,0.17,0.21,Matches,ded24a6c
527,Cristian Techera,uy URU,MF,Vancouver,24,1992,29,24,2035,22.6,6,4,5,1,2,1,0,0.27,0.18,0.44,0.22,0.4,Matches,af678e48
528,Russell Teibert,ca CAN,MF,Vancouver,24,1992,12,8,733,8.1,0,0,0,0,0,1,0,0,0,0,0,0,Matches,674befe9
529,Jérôme Thiesson,ch SUI,DF,Minnesota Utd,29,1987,33,33,2954,32.8,2,3,2,0,0,6,0,0.06,0.09,0.15,0.06,0.15,Matches,3b08106f
530,Tommy Thompson,us USA,MFFW,San Jose,21,1995,32,16,1541,17.1,1,4,1,0,0,1,0,0.06,0.23,0.29,0.06,0.29,Matches,5f6c69d8
531,Chris Tierney,us USA,DFMF,New England,31,1986,26,20,1711,19,1,2,0,1,1,3,0,0.05,0.11,0.16,0,0.11,Matches,94978be1
532,Maxim Tissot,ca CAN,DF,D.C. United,24,1992,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ca079c97
533,Donny Toia,us USA,DF,Orlando City,24,1992,30,29,2539,28.2,0,2,0,0,0,4,0,0,0.07,0.07,0,0.07,Matches,d286f965
534,Nouhou Tolo,cm CMR,DF,Seattle,19,1997,19,10,1057,11.7,0,0,0,0,0,1,1,0,0,0,0,0,Matches,0796512f
535,Paolo Tornaghi,it ITA,GK,Vancouver,28,1988,1,0,66,0.7,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f1e5709c
536,Erick Torres,mx MEX,FW,Houston Dynamo,24,1993,27,23,1996,22.2,14,3,9,5,6,6,0,0.63,0.14,0.77,0.41,0.54,Matches,b7f98460
537,Román Torres,pa PAN,DF,Seattle,30,1986,23,21,1784,19.8,0,2,0,0,0,4,1,0,0.1,0.1,0,0.1,Matches,9787f0ad
538,Wil Trapp,us USA,MF,Columbus Crew,24,1993,34,34,3034,33.7,0,4,0,0,0,3,0,0,0.12,0.12,0,0.12,Matches,9bf9391c
539,Ken Tribbett,us USA,DFMF,Philadelphia,24,1992,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6456deb4
540,Victor Ulloa,us USA,MF,FC Dallas,24,1992,23,12,1213,13.5,0,2,0,0,0,1,0,0,0.15,0.15,0,0.15,Matches,e7056f05
541,Marco Ureña,cr CRC,FW,San Jose,26,1990,25,22,1753,19.5,5,2,5,0,0,3,0,0.26,0.1,0.36,0.26,0.36,Matches,823e3479
542,Maximiliano Urruti,ar ARG,FW,FC Dallas,25,1991,32,31,2741,30.5,12,4,11,1,1,1,0,0.39,0.13,0.53,0.36,0.49,Matches,6c8fb474
543,Zarek Valentin,pr PUR,DF,Portland Timbers,25,1991,19,17,1545,17.2,0,3,0,0,0,2,0,0,0.17,0.17,0,0.17,Matches,f0d23e7b
544,Diego Valeri,ar ARG,MF,Portland Timbers,30,1986,32,32,2822,31.4,21,9,15,6,7,4,0,0.67,0.29,0.96,0.48,0.77,Matches,31da63ad
545,Jelle Van Damme,be BEL,DF,LA Galaxy,33,1983,18,18,1502,16.7,1,0,1,0,0,8,6,0.06,0,0.06,0.06,0.06,Matches,406eb232
546,Matt Van Oekel,us USA,GK,Real Salt Lake,30,1986,7,6,573,6.4,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6b9a35b3
547,Brandon Vazquez,us USA,FW,Atlanta Utd,18,1998,13,0,189,2.1,1,1,1,0,0,1,1,0.48,0.48,0.95,0.48,0.95,Matches,c570cf22
548,Víctor Vázquez,es ESP,MFFW,Toronto FC,30,1987,31,28,2372,26.4,8,10,5,3,3,3,0,0.3,0.38,0.68,0.19,0.57,Matches,6c564d36
549,Ricardo Velazco,us USA,MF,Real Salt Lake,23,1993,9,1,261,2.9,0,0,0,0,0,2,0,0,0,0,0,0,Matches,947ea2ec
550,Johan Venegas,cr CRC,MFFW,Minnesota Utd,28,1988,22,12,1231,13.7,2,5,2,0,0,4,0,0.15,0.37,0.51,0.15,0.51,Matches,5eadd340
551,Kevin Venegas,us USA,DFMF,Minnesota Utd,27,1989,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,916c7e25
552,Gonzalo Verón,ar ARG,FWMF,NY Red Bulls,27,1989,24,5,794,8.8,6,1,3,3,4,1,0,0.68,0.11,0.79,0.34,0.45,Matches,031d5eb1
553,David Villa,es ESP,FW,NYCFC,35,1981,31,28,2553,28.4,22,5,18,4,5,4,0,0.78,0.18,0.95,0.63,0.81,Matches,ade08a67
554,Héctor Villalba,py PAR,MFFW,Atlanta Utd,22,1994,34,34,2738,30.4,13,9,13,0,0,4,0,0.43,0.3,0.72,0.43,0.72,Matches,22aecad6
555,Jaime Villarreal,us USA,MF,LA Galaxy,21,1995,7,4,377,4.2,0,0,0,0,0,1,0,0,0,0,0,0,Matches,e65bdbb6
556,Jose Villarreal,us USA,MFFW,LA Galaxy,23,1993,12,4,393,4.4,0,2,0,0,0,0,0,0,0.46,0.46,0,0.46,Matches,d926bbff
557,Brandon Vincent,us USA,DF,Chicago Fire,22,1994,27,26,2342,26,2,4,2,0,0,3,0,0.08,0.15,0.23,0.08,0.23,Matches,48f4ae56
558,Rob Vincent,eng ENG,MF,D.C. United,26,1990,2,0,67,0.7,0,0,0,0,0,2,0,0,0,0,0,0,Matches,5fc52031
559,Anton Walkes,eng ENG,DF,Atlanta Utd,19,1997,20,17,1526,17,2,0,2,0,0,2,0,0.12,0,0.12,0.12,0.12,Matches,8a062bba
560,Rodney Wallace,cr CRC,FWMF,NYCFC,28,1988,26,23,1925,21.4,4,5,4,0,0,6,0,0.19,0.23,0.42,0.19,0.42,Matches,4fe634dd
561,Charlie Ward,eng ENG,MF,Houston Dynamo,21,1995,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ff760b59
562,Collen Warner,us USA,MF,Minnesota Utd,28,1988,25,12,1292,14.4,1,0,1,0,0,6,0,0.07,0,0.07,0.07,0.07,Matches,75babbce
563,Kendall Waston,cr CRC,DF,Vancouver,29,1988,25,25,2250,25,4,1,4,0,0,7,0,0.16,0.04,0.2,0.16,0.2,Matches,02ea59b0
564,Je-Vaughn Watson,jm JAM,MFDF,New England,33,1983,18,8,773,8.6,0,0,0,0,0,5,2,0,0,0,0,0,Matches,3f7e0505
565,Jared Watts,us USA,DFMF,Colorado Rapids,24,1992,20,18,1489,16.5,0,1,0,0,0,4,2,0,0.06,0.06,0,0.06,Matches,cfea8b63
566,Andrew Wenger,us USA,FWMF,Houston Dynamo,26,1990,22,12,1113,12.4,2,2,2,0,0,2,0,0.16,0.16,0.32,0.16,0.32,Matches,431f0200
567,Ethan White,us USA,DF,NYCFC,26,1991,21,19,1549,17.2,0,2,0,0,0,5,0,0,0.12,0.12,0,0.12,Matches,33a944a9
568,Giliano Wijnaldum,nl NED,DF,Philadelphia,24,1992,13,13,1137,12.6,0,1,0,0,0,4,0,0,0.08,0.08,0,0.08,Matches,49a3b2fa
569,Josh Williams,us USA,DF,Columbus Crew,28,1988,22,19,1797,20,3,0,3,0,0,4,0,0.15,0,0.15,0.15,0.15,Matches,06098bfc
570,Mekeil Williams,tt TRI,DF,Colorado Rapids,26,1990,17,16,1398,15.5,0,1,0,0,0,7,2,0,0.06,0.06,0,0.06,Matches,265fcb80
571,Sheanon Williams,us USA,DF,Vancouver,26,1990,15,15,1349,15,0,2,0,0,0,3,0,0,0.13,0.13,0,0.13,Matches,89f58cbd
572,Joe Willis,us USA,GK,Houston Dynamo,28,1988,8,8,720,8,0,0,0,0,0,1,0,0,0,0,0,0,Matches,467f09c8
573,Chris Wingert,us USA,DF,Real Salt Lake,34,1982,23,20,1752,19.5,1,0,1,0,0,5,0,0.05,0,0.05,0.05,0.05,Matches,6c0ff33e
574,Henry Wingo,us USA,DFMF,Seattle,21,1995,11,0,142,1.6,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0362c29e
575,Chris Wondolowski,us USA,FWMF,San Jose,34,1983,34,34,3039,33.8,13,8,12,1,1,3,0,0.38,0.24,0.62,0.36,0.59,Matches,37f46eda
576,London Woodberry,us USA,DF,New England,25,1991,3,2,165,1.8,0,0,0,0,0,0,0,0,0,0,0,0,Matches,91465531
577,Travis Worra,us USA,GKDF,D.C. United,23,1993,5,5,450,5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f41368c0
578,Brian Wright,ca CAN,FW,New England,21,1995,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9d44880d
579,Bradley Wright-Phillips,eng ENG,FW,NY Red Bulls,31,1985,32,29,2552,28.4,17,1,17,0,0,4,0,0.6,0.04,0.63,0.6,0.63,Matches,9bb42ab8
580,Joshua Yaro,gh GHA,DF,Philadelphia,22,1994,6,4,371,4.1,0,0,0,0,0,0,1,0,0,0,0,0,Matches,672f4300
581,Yoshimar Yotún,pe PER,MF,Orlando City,26,1990,10,10,886,9.8,1,4,1,0,0,2,0,0.1,0.41,0.51,0.1,0.51,Matches,b6af8c85
582,Jackson Yueill,us USA,MFFW,San Jose,19,1997,13,10,969,10.8,0,1,0,0,0,2,0,0,0.09,0.09,0,0.09,Matches,7dce16bf
583,Gyasi Zardes,us USA,FWMF,LA Galaxy,25,1991,24,23,1983,22,2,2,2,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches,09ae7f92
584,Eriq Zavaleta,sv SLV,DF,Toronto FC,24,1992,29,27,2353,26.1,1,0,1,0,0,4,0,0.04,0,0.04,0.04,0.04,Matches,edbfbb3f
585,Ben Zemanski,us USA,MFDF,Portland Timbers,28,1988,7,4,439,4.9,0,1,0,0,0,1,0,0,0.21,0.21,0,0.21,Matches,c4ddafcf
586,Walker Zimmerman,us USA,DF,FC Dallas,23,1993,22,18,1602,17.8,1,1,1,0,0,0,0,0.06,0.06,0.11,0.06,0.11,Matches,220fa883
587,Sal Zizzo,us USA,DF,NY Red Bulls,29,1987,23,18,1648,18.3,0,2,0,0,0,5,2,0,0.11,0.11,0,0.11,Matches,1be94685
588,Graham Zusi,us USA,DF,Sporting KC,30,1986,24,23,2115,23.5,0,6,0,0,0,3,1,0,0.26,0.26,0,0.26,Matches,9ba42447
